trial,hybrid,inoculum,order,rep,sev,spkweight,fdk
EL2012,P30F53,Fgra,4,1,0,248.8,4
EL2012,P30F53,Fgra,4,2,2,234.2,8
EL2012,P30F53,Fgra,4,3,0,244.4,0
EL2012,P30F53,Fgra,4,4,25,185.5,43
EL2012,P30F53,Fgra,4,5,15,210.4,5
EL2012,P30F53,Fgra,4,6,15,205.5,10
EL2012,P30F53,Fgra,4,7,0,265.5,6
EL2012,P30F53,Fgra,4,8,35,134.5,25
EL2012,P30F53,Fgra,4,9,NA,78.5,100
EL2012,P30F53,Fgra,4,10,NA,NA,NA
EL2013,P30F53,Fgra,4,1,20,327,NA
EL2013,P30F53,Fgra,4,2,70,99,NA
EL2013,P30F53,Fgra,4,3,5,310,NA
EL2013,P30F53,Fgra,4,4,10,247,NA
EL2013,P30F53,Fgra,4,5,1,294,NA
EL2013,P30F53,Fgra,4,6,5,327,NA
EL2013,P30F53,Fgra,4,7,NA,310,NA
EL2013,P30F53,Fgra,4,8,35,208,NA
EL2013,P30F53,Fgra,4,9,NA,NA,NA
EL2013,P30F53,Fgra,4,10,NA,NA,NA
LG2012,P30F53,Fgra,4,1,40,214.9,46
LG2012,P30F53,Fgra,4,2,20,189.9,75
LG2012,P30F53,Fgra,4,3,0,333.1,0
LG2012,P30F53,Fgra,4,4,0,303.6,1
LG2012,P30F53,Fgra,4,5,0,260.7,1
LG2012,P30F53,Fgra,4,6,0,292.2,1
LG2012,P30F53,Fgra,4,7,0,299.1,2
LG2012,P30F53,Fgra,4,8,NA,NA,NA
LG2012,P30F53,Fgra,4,9,NA,NA,NA
LG2012,P30F53,Fgra,4,10,NA,NA,NA
EL2012,Status,Fgra,4,1,25,94,26
EL2012,Status,Fgra,4,2,2,242.4,2
EL2012,Status,Fgra,4,3,1,237.8,2
EL2012,Status,Fgra,4,4,0,268.5,0
EL2012,Status,Fgra,4,5,0,196.2,42
EL2012,Status,Fgra,4,6,NA,264.8,28
EL2012,Status,Fgra,4,7,2,184.3,20
EL2012,Status,Fgra,4,8,2,231.6,12
EL2012,Status,Fgra,4,9,6,220.4,22
EL2012,Status,Fgra,4,10,0,156.9,0
EL2013,Status,Fgra,4,1,5,330,NA
EL2013,Status,Fgra,4,2,0,402,NA
EL2013,Status,Fgra,4,3,0,434,NA
EL2013,Status,Fgra,4,4,0,365,NA
EL2013,Status,Fgra,4,5,30,343,NA
EL2013,Status,Fgra,4,6,35,247,NA
EL2013,Status,Fgra,4,7,NA,282,NA
EL2013,Status,Fgra,4,8,0,336,NA
EL2013,Status,Fgra,4,9,40,306,NA
EL2013,Status,Fgra,4,10,NA,NA,NA
LG2012,Status,Fgra,4,1,2,70.3,11
LG2012,Status,Fgra,4,2,5,101.3,6
LG2012,Status,Fgra,4,3,2,100.2,7
LG2012,Status,Fgra,4,4,3,129.3,1
LG2012,Status,Fgra,4,5,1,108.3,4
LG2012,Status,Fgra,4,6,0,220.4,1
LG2012,Status,Fgra,4,7,0,177.7,1
LG2012,Status,Fgra,4,8,0,184.1,2
LG2012,Status,Fgra,4,9,NA,NA,NA
LG2012,Status,Fgra,4,10,NA,NA,NA
EL2012,P30F53,Fgra+Fmer,3,1,5,252.5,6
EL2012,P30F53,Fgra+Fmer,3,2,1,274.6,2
EL2012,P30F53,Fgra+Fmer,3,3,0,292.1,0
EL2012,P30F53,Fgra+Fmer,3,4,40,241.2,50
EL2012,P30F53,Fgra+Fmer,3,5,NA,145.5,100
EL2012,P30F53,Fgra+Fmer,3,6,NA,132,100
EL2012,P30F53,Fgra+Fmer,3,7,3,235.9,7
EL2012,P30F53,Fgra+Fmer,3,8,15,185,39
EL2012,P30F53,Fgra+Fmer,3,9,40,233.8,44
EL2012,P30F53,Fgra+Fmer,3,10,10,216.6,6
EL2013,P30F53,Fgra+Fmer,3,1,60,259,NA
EL2013,P30F53,Fgra+Fmer,3,2,5,270,NA
EL2013,P30F53,Fgra+Fmer,3,3,NA,169,NA
EL2013,P30F53,Fgra+Fmer,3,4,0,342,NA
EL2013,P30F53,Fgra+Fmer,3,5,5,225,NA
EL2013,P30F53,Fgra+Fmer,3,6,10,231,NA
EL2013,P30F53,Fgra+Fmer,3,7,0,280,NA
EL2013,P30F53,Fgra+Fmer,3,8,5,260,NA
EL2013,P30F53,Fgra+Fmer,3,9,1,328,NA
EL2013,P30F53,Fgra+Fmer,3,10,40,161,NA
LG2012,P30F53,Fgra+Fmer,3,1,100,58.8,100
LG2012,P30F53,Fgra+Fmer,3,2,100,74.2,100
LG2012,P30F53,Fgra+Fmer,3,3,100,70.4,100
LG2012,P30F53,Fgra+Fmer,3,4,80,156.8,46
LG2012,P30F53,Fgra+Fmer,3,5,50,174.6,64
LG2012,P30F53,Fgra+Fmer,3,6,50,162.1,62
LG2012,P30F53,Fgra+Fmer,3,7,35,183.6,70
LG2012,P30F53,Fgra+Fmer,3,8,30,162.2,51
LG2012,P30F53,Fgra+Fmer,3,9,10,226.1,24
LG2012,P30F53,Fgra+Fmer,3,10,NA,233.9,16
EL2012,Status,Fgra+Fmer,3,1,0,268.8,7
EL2012,Status,Fgra+Fmer,3,2,3,255.4,20
EL2012,Status,Fgra+Fmer,3,3,4,270.3,15
EL2012,Status,Fgra+Fmer,3,4,3,283.3,13
EL2012,Status,Fgra+Fmer,3,5,1,222.5,11
EL2012,Status,Fgra+Fmer,3,6,4,189.9,4
EL2012,Status,Fgra+Fmer,3,7,20,138.3,25
EL2012,Status,Fgra+Fmer,3,8,5,221.5,7
EL2012,Status,Fgra+Fmer,3,9,NA,9.4,NA
EL2012,Status,Fgra+Fmer,3,10,NA,16.5,NA
EL2013,Status,Fgra+Fmer,3,1,0,433,NA
EL2013,Status,Fgra+Fmer,3,2,1,301,NA
EL2013,Status,Fgra+Fmer,3,3,40,379,NA
EL2013,Status,Fgra+Fmer,3,4,20,295,NA
EL2013,Status,Fgra+Fmer,3,5,20,379,NA
EL2013,Status,Fgra+Fmer,3,6,80,247,NA
EL2013,Status,Fgra+Fmer,3,7,80,252,NA
EL2013,Status,Fgra+Fmer,3,8,100,72,NA
EL2013,Status,Fgra+Fmer,3,9,NA,NA,NA
EL2013,Status,Fgra+Fmer,3,10,NA,NA,NA
LG2012,Status,Fgra+Fmer,3,1,25,130.8,38
LG2012,Status,Fgra+Fmer,3,2,15,107,6
LG2012,Status,Fgra+Fmer,3,3,15,121.2,21
LG2012,Status,Fgra+Fmer,3,4,5,106.2,6
LG2012,Status,Fgra+Fmer,3,5,0,119.2,4
LG2012,Status,Fgra+Fmer,3,6,NA,NA,NA
LG2012,Status,Fgra+Fmer,3,7,NA,NA,NA
LG2012,Status,Fgra+Fmer,3,8,NA,NA,NA
LG2012,Status,Fgra+Fmer,3,9,NA,NA,NA
LG2012,Status,Fgra+Fmer,3,10,NA,NA,NA
EL2012,P30F53,Fmer,1,1,NA,235.6,0
EL2012,P30F53,Fmer,1,2,100,50.4,100
EL2012,P30F53,Fmer,1,3,97,41.8,100
EL2012,P30F53,Fmer,1,4,90,46.2,100
EL2012,P30F53,Fmer,1,5,70,142.1,71
EL2012,P30F53,Fmer,1,6,40,231.6,42
EL2012,P30F53,Fmer,1,7,10,211.7,35
EL2012,P30F53,Fmer,1,8,90,112,98
EL2012,P30F53,Fmer,1,9,20,224,25
EL2012,P30F53,Fmer,1,10,80,111.4,90
EL2013,P30F53,Fmer,1,1,100,153,NA
EL2013,P30F53,Fmer,1,2,10,324,NA
EL2013,P30F53,Fmer,1,3,100,156,NA
EL2013,P30F53,Fmer,1,4,50,254,NA
EL2013,P30F53,Fmer,1,5,70,231,NA
EL2013,P30F53,Fmer,1,6,5,334,NA
EL2013,P30F53,Fmer,1,7,20,241,NA
EL2013,P30F53,Fmer,1,8,30,221,NA
EL2013,P30F53,Fmer,1,9,5,322,NA
EL2013,P30F53,Fmer,1,10,25,90,NA
LG2012,P30F53,Fmer,1,1,75,135.9,96
LG2012,P30F53,Fmer,1,2,100,40.6,100
LG2012,P30F53,Fmer,1,3,100,60.2,100
LG2012,P30F53,Fmer,1,4,90,117,100
LG2012,P30F53,Fmer,1,5,70,158.8,70
LG2012,P30F53,Fmer,1,6,100,87.7,100
LG2012,P30F53,Fmer,1,7,NA,295.3,0
LG2012,P30F53,Fmer,1,8,NA,272.2,0
LG2012,P30F53,Fmer,1,9,NA,NA,NA
LG2012,P30F53,Fmer,1,10,NA,NA,NA
EL2012,Status,Fmer,1,1,100,265.1,15
EL2012,Status,Fmer,1,2,60,147.7,44
EL2012,Status,Fmer,1,3,40,168,43
EL2012,Status,Fmer,1,4,100,299.5,90
EL2012,Status,Fmer,1,5,40,114.1,30
EL2012,Status,Fmer,1,6,100,265.4,100
EL2012,Status,Fmer,1,7,50,169.5,20
EL2012,Status,Fmer,1,8,7,176.2,25
EL2012,Status,Fmer,1,9,35,140.4,42
EL2012,Status,Fmer,1,10,10,213.2,1
EL2013,Status,Fmer,1,1,50,299,NA
EL2013,Status,Fmer,1,2,100,127,NA
EL2013,Status,Fmer,1,3,85,230,NA
EL2013,Status,Fmer,1,4,100,108,NA
EL2013,Status,Fmer,1,5,90,141,NA
EL2013,Status,Fmer,1,6,90,135,NA
EL2013,Status,Fmer,1,7,NA,NA,NA
EL2013,Status,Fmer,1,8,NA,NA,NA
EL2013,Status,Fmer,1,9,NA,NA,NA
EL2013,Status,Fmer,1,10,NA,NA,NA
LG2012,Status,Fmer,1,1,100,48.4,100
LG2012,Status,Fmer,1,2,100,52.2,100
LG2012,Status,Fmer,1,3,80,71.5,75
LG2012,Status,Fmer,1,4,40,164.1,44
LG2012,Status,Fmer,1,5,30,119.9,43
LG2012,Status,Fmer,1,6,10,120.6,13
LG2012,Status,Fmer,1,7,NA,NA,NA
LG2012,Status,Fmer,1,8,NA,NA,NA
LG2012,Status,Fmer,1,9,NA,NA,NA
LG2012,Status,Fmer,1,10,NA,NA,NA
EL2012,P30F53,Fmer+Fgra,2,1,100,54.2,100
EL2012,P30F53,Fmer+Fgra,2,2,10,242.2,26
EL2012,P30F53,Fmer+Fgra,2,3,70,129.7,25
EL2012,P30F53,Fmer+Fgra,2,4,15,249.9,5
EL2012,P30F53,Fmer+Fgra,2,5,NA,227.2,0
EL2012,P30F53,Fmer+Fgra,2,6,50,193.9,36
EL2012,P30F53,Fmer+Fgra,2,7,30,190.8,17
EL2012,P30F53,Fmer+Fgra,2,8,60,173.2,44
EL2012,P30F53,Fmer+Fgra,2,9,90,89.9,100
EL2012,P30F53,Fmer+Fgra,2,10,NA,NA,NA
EL2013,P30F53,Fmer+Fgra,2,1,20,341,NA
EL2013,P30F53,Fmer+Fgra,2,2,NA,288,NA
EL2013,P30F53,Fmer+Fgra,2,3,50,291,NA
EL2013,P30F53,Fmer+Fgra,2,4,10,300,NA
